IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码,端口
104.17.75.207,4,4,0.00,197.90,13.09,SJC,443
104.16.135.18,4,4,0.00,187.16,13.08,SJC,443
172.67.76.69,4,4,0.00,187.06,12.92,FRA,443
104.16.96.125,4,4,0.00,175.00,12.78,SJC,443
104.17.149.226,4,4,0.00,180.75,12.73,SJC,443
104.17.170.248,4,4,0.00,181.00,12.65,SJC,443
104.16.14.224,4,4,0.00,176.90,12.64,SJC,443
104.21.229.110,4,4,0.00,171.13,12.64,LAX,443
104.21.198.59,4,4,0.00,180.89,12.56,AMS,443
104.17.89.159,4,4,0.00,182.74,12.46,SJC,443
172.66.148.18,4,4,0.00,178.19,12.24,FRA,443
104.27.6.161,4,4,0.00,186.62,11.99,FRA,443
104.27.96.247,4,4,0.00,179.85,11.96,FRA,443
104.16.168.214,4,4,0.00,193.41,11.82,SJC,443
172.66.211.242,4,4,0.00,191.60,11.82,FRA,443
104.17.7.69,4,4,0.00,180.04,11.78,SJC,443
104.17.187.148,4,4,0.00,177.55,11.76,SJC,443
104.17.126.148,4,4,0.00,185.54,11.61,SJC,443
104.17.181.192,4,4,0.00,185.98,11.58,SJC,443
198.41.217.26,4,4,0.00,170.98,11.56,SJC,443
172.64.176.252,4,4,0.00,160.36,11.53,SJC,443
172.67.126.178,4,4,0.00,168.87,11.45,FRA,443
104.27.9.182,4,4,0.00,186.18,11.39,FRA,443
162.159.249.33,4,4,0.00,185.62,11.37,LAX,443
104.16.29.222,4,4,0.00,184.62,11.34,SJC,443
104.27.117.96,4,4,0.00,184.19,11.26,FRA,443
104.17.36.89,4,4,0.00,190.43,11.24,SJC,443
190.93.247.171,4,4,0.00,177.92,11.21,SJC,443
104.19.223.232,4,4,0.00,184.37,11.04,SJC,443
104.16.239.164,4,4,0.00,183.39,11.00,SJC,443
104.27.64.137,4,4,0.00,179.93,10.98,FRA,443
172.64.67.168,4,4,0.00,156.28,10.89,SJC,443
104.16.146.113,4,4,0.00,169.63,10.87,SJC,443
104.16.6.114,4,4,0.00,175.27,10.66,SJC,443
104.16.147.61,4,4,0.00,180.77,10.64,SJC,443
104.16.92.156,4,4,0.00,177.31,10.62,SJC,443
104.16.84.98,4,4,0.00,170.94,10.61,SJC,443
104.21.0.37,4,4,0.00,187.92,10.58,AMS,443
162.159.243.37,4,4,0.00,174.23,10.51,LAX,443
104.21.226.139,4,4,0.00,170.56,10.50,LAX,443
104.16.33.160,4,4,0.00,172.62,10.49,SJC,443
104.16.116.89,4,4,0.00,185.86,10.38,LAX,443
172.67.161.139,4,4,0.00,191.92,10.27,AMS,443
104.19.235.77,4,4,0.00,178.22,10.27,SJC,443
104.27.44.135,4,4,0.00,181.48,10.24,FRA,443
104.24.43.230,4,4,0.00,188.85,10.23,FRA,443
162.159.195.54,4,4,0.00,184.52,10.03,LAX,443
104.16.157.100,4,4,0.00,178.85,9.99,SJC,443
104.17.180.127,4,4,0.00,171.38,9.97,SJC,443
104.16.143.72,4,4,0.00,178.82,9.91,SJC,443
104.17.182.2,4,4,0.00,184.64,9.88,SJC,443
104.27.63.101,4,4,0.00,192.73,9.86,FRA,443
104.21.6.253,4,4,0.00,188.82,9.78,AMS,443
104.16.97.95,4,4,0.00,166.43,9.67,SJC,443
104.17.76.151,4,4,0.00,186.96,9.55,SJC,443
104.27.83.106,4,4,0.00,187.50,9.51,FRA,443
104.16.233.148,4,4,0.00,175.39,9.29,SJC,443
172.66.158.179,4,4,0.00,193.58,9.28,FRA,443
104.16.126.23,4,4,0.00,182.73,9.28,LAX,443
104.27.49.31,4,4,0.00,185.09,9.26,FRA,443
104.25.212.148,4,4,0.00,196.82,9.12,FRA,443
104.20.3.212,4,4,0.00,187.66,9.12,FRA,443
172.66.46.105,4,4,0.00,152.90,9.10,SJC,443
162.159.247.215,4,4,0.00,190.44,9.08,LAX,443
104.21.230.163,4,4,0.00,167.44,8.96,LAX,443
104.21.227.144,4,4,0.00,165.50,8.90,LAX,443
104.16.12.20,4,4,0.00,170.84,8.88,SJC,443
172.66.195.177,4,4,0.00,192.54,8.78,FRA,443
104.17.159.244,4,4,0.00,170.56,8.71,SJC,443
104.16.148.185,4,4,0.00,180.67,8.66,SJC,443
188.114.98.188,4,4,0.00,190.08,8.59,AMS,443
104.21.218.46,4,4,0.00,196.81,8.58,AMS,443
104.17.8.208,4,4,0.00,168.62,8.50,SJC,443
104.17.160.206,4,4,0.00,174.97,8.45,SJC,443
104.16.194.46,4,4,0.00,181.21,8.39,SJC,443
104.16.62.129,4,4,0.00,178.20,8.33,SJC,443
198.41.218.143,4,4,0.00,187.90,8.29,SJC,443
104.24.17.224,4,4,0.00,184.76,8.28,FRA,443
104.17.20.140,4,4,0.00,185.75,8.26,SJC,443
104.17.123.83,4,4,0.00,183.46,8.23,SJC,443
